Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	4198-1	2016-09-09	2016-09-12	PAYPAL *ANDSOOHAPUB	270.00	CAD	270.00	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	9399	Government Services - Not Elsewhere Clas	SEMINAR/TRAINING	
PUBLIC HEALTH	4203-1	2016-09-14	2016-09-15	PAYPAL *INFACTCANAD	209.05	CAD	209.05	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	5999	Miscellaneous and Specialty Retail Store	SEMINAR/TRAINING	
					479.05	CAD	479.05	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4202-1	2016-09-13	2016-09-14	ROB'S NO FRILLS STORE	8.37	CAD	8.37	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	DISHWASHING LIQUID	
ECONOMIC DEVELOPMENT & CULTURE	4206-1	2016-09-15	2016-09-19	SOBEYS 718        QPS	15.81	CAD	15.81	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	DISHWASHER DETERGENT	
ECONOMIC DEVELOPMENT & CULTURE	4206-2	2016-09-16	2016-09-19	SOBEYS 718        QPS	123.30	CAD	123.30	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	"CRACKERS, FLOUR, CORN SYRUP, SUGAR, VINEGAR, ETC."	
ECONOMIC DEVELOPMENT & CULTURE	4218-1	2016-09-26	2016-09-27	ROB'S NO FRILLS STORE	3.45	CAD	3.45	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0057	HS-MH-COLLECTION REGISTRATN-TODMORDEN	5411	"Grocery Stores, Supermarkets"	VEGETABLES	
					150.93	CAD	150.93	CAD								
"PARKS, FORESTRY & RECREATION"	4216-1	2016-09-24	2016-09-26	LOBLAWS #1155	6.57	CAD	6.57	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01959	BOB ABATE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD- CEY TRAINING	
"PARKS, FORESTRY & RECREATION"	4218-2	2016-09-25	2016-09-27	METRO #442	21.10	CAD	21.10	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P01959	BOB ABATE CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD- CEY TRAINING	
					27.67	CAD	27.67	CAD								
