Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
TORONTO PARAMEDIC SERVICES	4852-1	2017-12-05	2017-12-06	PETROCAN	95.58	CAD	95.58	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	GASOLINE	
					95.58	CAD	95.58	CAD								
SOLID WASTE MANAGEMENT	4850-1	2017-12-04	2017-12-05	PETROCAN	101.60	CAD	101.60	CAD	2260	GASOLINE	CSW312-17-80	CL-SAL&BEN & OTHER OPERATING RECOVERIES	5541	Service Stations (with or without Ancill	GASOLINE CITY USE	
SOLID WASTE MANAGEMENT	4871-1	2017-12-19	2017-12-20	PETROCAN	108.66	CAD	108.66	CAD	2260	GASOLINE	CSW312-17-80	CL-SAL&BEN & OTHER OPERATING RECOVERIES	5541	Service Stations (with or without Ancill	GASOLINE CITY USE	
					210.26	CAD	210.26	CAD								
SOLID WASTE MANAGEMENT	4841-1	2017-12-01	2017-12-01	FLYING M TRUCK STOP	90.78	CAD	90.78	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE	
SOLID WASTE MANAGEMENT	4867-1	2017-12-18	2017-12-18	FLYING M TRUCK STOP	85.14	CAD	85.14	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE	
					175.92	CAD	175.92	CAD								
SOLID WASTE MANAGEMENT	4855-1	2017-12-08	2017-12-08	PETROCAN	95.54	CAD	95.54	CAD	2280	DIESEL - CLEAR	CSW312-17-80	CL-SAL&BEN & OTHER OPERATING RECOVERIES	5541	Service Stations (with or without Ancill	DIESEL CITY USE	
SOLID WASTE MANAGEMENT	4872-1	2017-12-20	2017-12-21	PETROCAN	93.88	CAD	93.88	CAD	2280	DIESEL - CLEAR	CSW312-17-80	CL-SAL&BEN & OTHER OPERATING RECOVERIES	5541	Service Stations (with or without Ancill	DIESEL CITY USE	
