Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order	Cost Centre / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
PUBLIC HEALTH	4453-1	2017-03-01	2017-03-02	JUST DIRECT PROMOTIONS	"1,265.60"	CAD	"1,265.60"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	PH3517	POSTPARTUM	5947	"Card, Gift, Novelty, and Souvenir Shops"	PROMOTIONAL SUPPLIES	
PUBLIC HEALTH	4465-1	2017-03-07	2017-03-09	PAYPAL *OBC2012	933.92	CAD	933.92	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	8641	"Associations - Civic, Social, and Frater"	REGISTRATION FEES	
PUBLIC HEALTH	4469-1	2017-03-09	2017-03-13	ORFALI EVENTS INC.	435.05	CAD	435.05	CAD	4256	CONFERENCES/SEMINARS - REGISTRATION FEES	PH3071	MATERNAL INFANT HEALTH PROGRAM SUPPORT	5734	Computer Software Stores	REGISTRATION FEES	
					"2,634.57"	CAD	"2,634.57"	CAD								
ECONOMIC DEVELOPMENT & CULTURE	4451-1	2017-02-28	2017-03-01	EWING FLAGPOLE CO. INC	"2,904.10"	CAD	"2,904.10"	CAD	4424	CONTRACTED SERVICES - GENERAL	AH0154	CD-AM-FACILITY MGMT-FORT YORK	5998	Tent & Awning Shops	REPAIRS TO BOTH FLAGPOLES	
ECONOMIC DEVELOPMENT & CULTURE	4454-1	2017-03-02	2017-03-03	TIMELINE SOLUTIONS	110.34	CAD	110.34	CAD	4424	CONTRACTED SERVICES - GENERAL	AH0154	CD-AM-FACILITY MGMT-FORT YORK	7349	"Cleaning and Maintenance, Janitorial Ser"	REPAIRS TO FLOOR MACHINE	
ECONOMIC DEVELOPMENT & CULTURE	4481-1	2017-03-17	2017-03-20	L.J. SALES	"2,783.65"	CAD	"2,783.65"	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0073	HS-MH-EDUCATION/OUTRCH-FORT YORK	7311	Advertising Services	WRIST BANDS	
ECONOMIC DEVELOPMENT & CULTURE	4487-1	2017-03-23	2017-03-24	GAWCK	837.70	CAD	837.70	CAD	2792	"BANNERS, FLAGS & SIGNS"	AH0050	HS-MH-BOARD & COMMITTEE-YORK MUSEU	7333	"Commercial Art, Graphics, Photography"	POP-UP EXHIBITS	
					"6,635.79"	CAD	"6,635.79"	CAD								
"PARKS, FORESTRY & RECREATION"	4454-2	2017-03-02	2017-03-03	NEW CANADIAN LUMBER	63.34	CAD	63.34	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P10430	BOB ABATE CC-PRGM SUPPORT	5251	Hardware Stores	KEYS CUT AND RINGS	
"PARKS, FORESTRY & RECREATION"	4462-1	2017-03-06	2017-03-07	COSTCO WHOLESALE W535	237.27	CAD	237.27	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P01887	BOB ABATE CC-ARTS-VISL/PERF	5300	Wholesale Clubs	WAGONS	
