Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBLS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	4908-1	2018-02-02	2018-02-05	ESSO	84.28	CAD	84.28	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	GASOLINE-72.279L $1.166/L
					84.28	CAD	84.28	CAD							
TORONTO PARAMEDIC SERVICES	4922-1	2018-02-21	2018-02-22	ESSO	24.07	CAD	24.07	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL-20.767L $1.159/L
					24.07	CAD	24.07	CAD							
TORONTO PARAMEDIC SERVICES	4910-1	2018-02-05	2018-02-07	PETROCAN	98.00	CAD	98.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL-84.553L $1.159/L
TORONTO PARAMEDIC SERVICES	4917-1	2018-02-14	2018-02-15	PETROCAN	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL-87.796L $1.139/L
					198.00	CAD	198.00	CAD							
TORONTO PARAMEDIC SERVICES	4920-1	2018-02-19	2018-02-20	ONROUTE #01177	75.00	CAD	75.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL-63.398L $1.183/L
					75.00	CAD	75.00	CAD							
SOLID WASTE MANAGEMENT	4915-1	2018-02-12	2018-02-13	PETROCAN	99.58	CAD	99.58	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
SOLID WASTE MANAGEMENT	4925-1	2018-02-26	2018-02-27	PETROCAN	100.52	CAD	100.52	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
					200.10	CAD	200.10	CAD							
SOLID WASTE MANAGEMENT	4911-1	2018-02-08	2018-02-08	FLYING M TRUCK STOP	100.92	CAD	100.92	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
SOLID WASTE MANAGEMENT	4922-2	2018-02-23	2018-02-23	FLYING M TRUCK STOP	90.45	CAD	90.45	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					191.37	CAD	191.37	CAD							
SOLID WASTE MANAGEMENT	4904-1	2018-01-31	2018-02-01	PETROCAN	105.41	CAD	105.41	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
SOLID WASTE MANAGEMENT	4915-2	2018-02-12	2018-02-13	PETROCAN	73.00	CAD	73.00	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL-CITY USE
SOLID WASTE MANAGEMENT	4922-3	2018-02-22	2018-02-22	PETROCAN	99.81	CAD	99.81	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY-USE
					278.22	CAD	278.22	CAD							
SOLID WASTE MANAGEMENT	4904-2	2018-01-31	2018-02-01	SHELL	200.00	CAD	200.00	CAD	2280	DIESEL - CLEAR	SW0709	TRANSFER STATION RECYCLE HAULAGE	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206077
SOLID WASTE MANAGEMENT	4909-1	2018-02-05	2018-02-06	ESSO	150.00	CAD	150.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206077
SOLID WASTE MANAGEMENT	4909-2	2018-02-06	2018-02-06	HUSKY DUFFERIN HUSKY #	115.00	CAD	115.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206077
SOLID WASTE MANAGEMENT	4915-3	2018-02-12	2018-02-13	SHELL	99.93	CAD	99.93	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206077
SOLID WASTE MANAGEMENT	4917-2	2018-02-14	2018-02-15	PETROCAN	150.09	CAD	150.09	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5541	Service Stations (with or without Ancill	FUEL PURCHASE FOR TRACTOR 206077
SOLID WASTE MANAGEMENT	4921-1	2018-02-20	2018-02-21	SHELL	200.00	CAD	200.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206077
					915.02	CAD	915.02	CAD							
SOLID WASTE MANAGEMENT	4907-1	2018-02-02	2018-02-02	PETROCAN	200.00	CAD	200.00	CAD	2280	DIESEL - CLEAR	SW0709	TRANSFER STATION RECYCLE HAULAGE	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206076
SOLID WASTE MANAGEMENT	4907-2	2018-02-02	2018-02-02	PETROCAN	200.00	CAD	200.00	CAD	2280	DIESEL - CLEAR	SW0709	TRANSFER STATION RECYCLE HAULAGE	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206076
SOLID WASTE MANAGEMENT	4911-2	2018-02-07	2018-02-08	PETROCAN	200.00	CAD	200.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206076
SOLID WASTE MANAGEMENT	4911-3	2018-02-07	2018-02-08	PETROCAN	140.12	CAD	140.12	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206076
SOLID WASTE MANAGEMENT	4913-1	2018-02-09	2018-02-09	PETROCAN	200.00	CAD	200.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206076
SOLID WASTE MANAGEMENT	4917-3	2018-02-15	2018-02-15	PETROCAN	200.00	CAD	200.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206076
SOLID WASTE MANAGEMENT	4917-4	2018-02-15	2018-02-15	PETROCAN	200.00	CAD	200.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206076
SOLID WASTE MANAGEMENT	4918-1	2018-02-16	2018-02-16	PETROCAN	200.00	CAD	200.00	CAD	2280	DIESEL - CLEAR	SW0708	TRANSFER STATION WASTE ROLLOFF	5542	"Fuel Dispenser, Automated"	FUEL PURCHASE FOR TRACTOR 206076
					"1,540.12"	CAD	"1,540.12"	CAD							
