Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose	
TORONTO PARAMEDIC SERVICES	4962-115	2018-04-13	2018-04-16	SHELL	86.00	CAD	86.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 67.24L $1.279/L	
					86.00	CAD	86.00	CAD								
TORONTO PARAMEDIC SERVICES	4959-95	2018-04-10	2018-04-11	ONROUTE #01164	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 77.821L $1.285/L	
					100.00	CAD	100.00	CAD								
TORONTO PARAMEDIC SERVICES	4960-230	2018-04-11	2018-04-12	ESSO	93.20	CAD	93.20	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 73.44L $1.269/L	
					93.20	CAD	93.20	CAD								
TORONTO PARAMEDIC SERVICES	4962-11	2018-04-13	2018-04-16	CDN TIRE GASBAR #01743	93.11	CAD	93.11	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 75.515L $1.233/L	
					93.11	CAD	93.11	CAD								
SOLID WASTE MANAGEMENT	4961-12	2018-04-13	2018-04-13	PETROCAN	126.00	CAD	126.00	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE	
SOLID WASTE MANAGEMENT	4973-24	2018-04-25	2018-04-26	PETROCAN	112.41	CAD	112.41	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE	
					238.41	CAD	238.41	CAD								
SOLID WASTE MANAGEMENT	4955-32	2018-04-05	2018-04-05	FLYING M TRUCK STOP	102.75	CAD	102.75	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE	
