Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order #	Cost Center / WBS Element / Order # Description	Merchant Type	Merchant Type Description	Purpose	
TORONTO PARAMEDIC SERVICES	4989-437	2018-05-18	2018-05-18	4128 GB LINDSAY	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	77.58L @$1.289/L	
					100.00	CAD	100.00	CAD								
TORONTO PARAMEDIC SERVICES	4977-1	2018-05-01	2018-05-02	ONROUTE #01164	90.01	CAD	90.01	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 92.163L $1.32/L	
					90.01	CAD	90.01	CAD								
TORONTO PARAMEDIC SERVICES	4994-75	2018-05-25	2018-05-25	PETROCAN	95.25	CAD	95.25	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	71.67L @ $1.329/L GASOLINE	
					95.25	CAD	95.25	CAD								
TORONTO PARAMEDIC SERVICES	4988-1	2018-05-15	2018-05-16	ESSO	80.00	CAD	80.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 57.595L@ $1.389/L	
					80.00	CAD	80.00	CAD								
SOLID WASTE MANAGEMENT	4980-11	2018-05-04	2018-05-04	PETROCAN	124.10	CAD	124.10	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE	
SOLID WASTE MANAGEMENT	4988-11	2018-05-15	2018-05-16	PETROCAN	91.48	CAD	91.48	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE	
SOLID WASTE MANAGEMENT	4993-37	2018-05-23	2018-05-24	PETROCAN	118.34	CAD	118.34	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE	
					333.92	CAD	333.92	CAD								
SOLID WASTE MANAGEMENT	4984-34	2018-05-11	2018-05-11	FLYING M TRUCK STOP	94.79	CAD	94.79	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE	
					94.79	CAD	94.79	CAD								
SOLID WASTE MANAGEMENT	4978-42	2018-05-03	2018-05-03	PETROCAN	42.55	CAD	42.55	CAD	2280	DIESEL - CLEAR	SW0550	KEELE VALLEY LANDFILL	5541	Service Stations (with or without Ancill	DIESEL-CITY USE	
