Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5312-1	2019-07-31	2019-08-02	SHELL	121.01	CAD	121.01	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 93.155L @ $1.299/L
					121.01	CAD	121.01	CAD							
SOLID WASTE MANAGEMENT	5311-1	2019-07-30	2019-08-01	PETROCAN	111.45	CAD	111.45	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
					111.45	CAD	111.45	CAD							
SOLID WASTE MANAGEMENT	5327-1	2019-08-21	2019-08-22	FLYING M TRUCK STOP	97.22	CAD	97.22	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					97.22	CAD	97.22	CAD							
SOLID WASTE MANAGEMENT	5329-1	2019-08-23	2019-08-26	FLYING M TRUCK STOP	97.30	CAD	97.30	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					97.30	CAD	97.30	CAD							
SOLID WASTE MANAGEMENT	5313-1	2019-08-02	2019-08-05	DUFFERIN & MAJOR MACK	73.46	CAD	73.46	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5542	"Fuel Dispenser, Automated"	DIESEL CITY USE
SOLID WASTE MANAGEMENT	5324-1	2019-08-15	2019-08-19	WARAN ESSO	79.88	CAD	79.88	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
					153.34	CAD	153.34	CAD							
"PARKS, FORESTRY & RECREATION"	5315-1	2019-08-06	2019-08-07	WATER AND ICE NORTH AM	771.79	CAD	771.79	CAD	2535	PLUMBING SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	CHEM - CLEAR BLUE 4L
"PARKS, FORESTRY & RECREATION"	5315-2	2019-08-06	2019-08-07	WATER AND ICE NORTH AM	144.28	CAD	144.28	CAD	2535	PLUMBING SUPPLIES	P06885	TECHNICAL TRADES SERVICES - 50 BOOTH	5996	Swimming Pools - Sales and Supplies	FLANGE
