Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5345-1	2019-09-14	2019-09-16	1782 MAC'S CONVENIEN	83.47	CAD	83.47	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 75.263L@ $1.109/L
TORONTO PARAMEDIC SERVICES	5346-1	2019-09-16	2019-09-17	PIONEER STN #154	75.00	CAD	75.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 68.558L @ $1.094/L
TORONTO PARAMEDIC SERVICES	5346-2	2019-09-15	2019-09-17	GANANOQUE ESSO	75.82	CAD	75.82	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 68.987L @ 1.099/L
TORONTO PARAMEDIC SERVICES	5348-1	2019-09-17	2019-09-19	SHELL	95.05	CAD	95.05	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 82.01LL @ $1.159/L
					329.34	CAD	329.34	CAD							
SOLID WASTE MANAGEMENT	5350-1	2019-09-20	2019-09-23	PETROCAN	105.45	CAD	105.45	CAD	2260	GASOLINE	CSW930-03-01	HSI PROJECT - PHASE 2	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
					105.45	CAD	105.45	CAD							
SOLID WASTE MANAGEMENT	5341-1	2019-09-09	2019-09-10	FLYING M TRUCK STOP	101.66	CAD	101.66	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
SOLID WASTE MANAGEMENT	5355-1	2019-09-27	2019-09-30	FLYING M TRUCK STOP	100.04	CAD	100.04	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					201.70	CAD	201.70	CAD							
