Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5225-92	2019-04-02	2019-04-03	SHELL	67.09	CAD	67.09	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL
					67.09	CAD	67.09	CAD							
TORONTO PARAMEDIC SERVICES	5223-11	2019-03-31	2019-04-01	CDN TIRE GASBAR #01663	61.43	CAD	61.43	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL
					61.43	CAD	61.43	CAD							
SOLID WASTE MANAGEMENT	5226-1	2019-04-03	2019-04-04	PETROCAN	108.34	CAD	108.34	CAD	2260	GASOLINE	CSW312-18-05	OTHER CL SITES UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
SOLID WASTE MANAGEMENT	5233-1	2019-04-13	2019-04-13	PETROCAN	115.45	CAD	115.45	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
					223.79	CAD	223.79	CAD							
SOLID WASTE MANAGEMENT	5239-1	2019-04-23	2019-04-23	FLYING M TRUCK STOP	101.27	CAD	101.27	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					101.27	CAD	101.27	CAD							
SOLID WASTE MANAGEMENT	5226-2	2019-04-05	2019-04-05	FLYING M TRUCK STOP	111.64	CAD	111.64	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					111.64	CAD	111.64	CAD							
SOLID WASTE MANAGEMENT	5235-1	2019-04-15	2019-04-16	ESSO	50.02	CAD	50.02	CAD	2280	DIESEL - CLEAR	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	DIESEL CITY USE
					50.02	CAD	50.02	CAD							
SOLID WASTE MANAGEMENT	5225-38	2019-04-02	2019-04-03	PETROCAN	75.00	CAD	75.00	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5542	"Fuel Dispenser, Automated"	GASOLINE-CITY USE
					75.00	CAD	75.00	CAD							
SOLID WASTE MANAGEMENT	5236-1	2019-04-16	2019-04-17	PETROCAN	54.16	CAD	54.16	CAD	2260	GASOLINE	CSW312-18-04	KEELE VALLEY LF UTILITY & SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
					54.16	CAD	54.16	CAD							
"PARKS, FORESTRY & RECREATION"	5230-1	2019-04-09	2019-04-09	WATER AND ICE NORTH AM	577.43	CAD	577.43	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5232-1	2019-04-11	2019-04-11	WATER AND ICE NORTH AM	555.96	CAD	555.96	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5996	Swimming Pools - Sales and Supplies	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5232-2	2019-04-11	2019-04-11	JJ DOWNS INDUSTRIAL	89.13	CAD	89.13	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	IRRIGATION SUPPLIES
"PARKS, FORESTRY & RECREATION"	5243-1	2019-04-29	2019-04-29	RONA # 55130	218.51	CAD	218.51	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5251	Hardware Stores	IRRIGATION SUPPLIES
					"1,441.03"	CAD	"1,441.03"	CAD							
"PARKS, FORESTRY & RECREATION"	5226-3	2019-04-04	2019-04-04	NOFRILLS ROSS 782	171.16	CAD	171.16	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	COOKING PROGRAM
"PARKS, FORESTRY & RECREATION"	5226-4	2019-04-04	2019-04-04	HOBBY WORLD	808.35	CAD	808.35	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5970	"Artist Supply Stores, Craft Shops"	ARTS AND CRAFT SUPPLIES
"PARKS, FORESTRY & RECREATION"	5230-2	2019-04-09	2019-04-09	NOFRILLS ROSS 782	196.10	CAD	196.10	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	5234-1	2019-04-15	2019-04-15	REAL CANADIAN WHOLESAL	198.16	CAD	198.16	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	5234-2	2019-04-15	2019-04-15	DOLLARAMA # 523	36.27	CAD	36.27	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5310	Discount Stores	
"PARKS, FORESTRY & RECREATION"	5237-1	2019-04-18	2019-04-19	LONG & MCQUADE	198.56	CAD	198.56	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5733	"Music Stores - Musical Instruments, Pian"	
"PARKS, FORESTRY & RECREATION"	5237-2	2019-04-18	2019-04-19	LONG & MCQUADE	202.23	CAD	202.23	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5733	"Music Stores - Musical Instruments, Pian"	
"PARKS, FORESTRY & RECREATION"	5241-1	2019-04-25	2019-04-25	NOFRILLS ROSS 782	125.07	CAD	125.07	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5411	"Grocery Stores, Supermarkets"	
"PARKS, FORESTRY & RECREATION"	5241-2	2019-04-25	2019-04-25	LONG & MCQUADE	191.22	CAD	191.22	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5733	"Music Stores - Musical Instruments, Pian"	
"PARKS, FORESTRY & RECREATION"	5241-3	2019-04-25	2019-04-25	LONG & MCQUADE	59.33	CAD	59.33	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5733	"Music Stores - Musical Instruments, Pian"	
"PARKS, FORESTRY & RECREATION"	5242-1	2019-04-26	2019-04-26	FITNESS DEPOT TORONTO	109.20	CAD	109.20	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5941	Sporting Goods Stores	
"PARKS, FORESTRY & RECREATION"	5242-2	2019-04-26	2019-04-26	FITNESS DEPOT TORONTO	325.44	CAD	325.44	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P13495	YORK CC - PRGM SUPPORT CR	5941	Sporting Goods Stores	
					"2,621.09"	CAD	"2,621.09"	CAD							
SOLID WASTE MANAGEMENT	5225-39	2019-04-03	2019-04-03	RECYCLING MARKETS LIMI	609.06	CAD	445.00	USD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	7399	Business Services - Not Elsewhere Classi	ONE YEAR TRIAL SUBSCRIPTION TO MARKET INDEX
					609.06	CAD	445.00	USD							
"PARKS, FORESTRY & RECREATION"	5224-1	2019-04-02	2019-04-02	METRO #35	40.20	CAD	40.20	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"FRUITS, VEGETABLES"
"PARKS, FORESTRY & RECREATION"	5226-5	2019-04-04	2019-04-04	TIM HORTONS #2490	25.98	CAD	25.98	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P00758	AQUATICS SUPP - CITYWIDE	5814	Quick Payment Service - Fast-Food Restau	MUFFINS
"PARKS, FORESTRY & RECREATION"	5226-6	2019-04-04	2019-04-04	TIM HORTONS #4651	154.16	CAD	154.16	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P00758	AQUATICS SUPP - CITYWIDE	5814	Quick Payment Service - Fast-Food Restau	"COFFEE, TEA"
"PARKS, FORESTRY & RECREATION"	5229-1	2019-04-08	2019-04-08	CANADA COMPUTERS #12	39.54	CAD	39.54	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5734	Computer Software Stores	HDMI CABLES FOR SENIORS PROGRAM
"PARKS, FORESTRY & RECREATION"	5229-2	2019-04-08	2019-04-08	ALI S NO FRILLS #3636	26.31	CAD	26.31	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	"VINEGAR, BAKING SODA, FOOD COLOURING"
"PARKS, FORESTRY & RECREATION"	5229-3	2019-04-08	2019-04-08	MICHAELS #3932	27.12	CAD	27.12	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P07693	DON MONTGOMERY CRC-PRGM SUPPORT	5945	"Game, Toy, and Hobby Shops"	ART PROGRAM SUPPLIES
