Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	Expense Type	Funds Center	Cost Desc	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5449-1	2020-01-30	2020-02-03	ESSO CIRCLE K	60.56	CAD	60.56	CAD	2260	2260	B41100	MAINTENANCE OF FLEET	5541	Service Stations (with or without Ancill	FUEL 55.101L @$1.099/L
					60.56	CAD	60.56	CAD							
SOLID WASTE MANAGEMENT	5457-1	2020-02-10	2020-02-12	PETROCAN	102.04	CAD	102.04	CAD	2260	2260	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
SOLID WASTE MANAGEMENT	5469-1	2020-02-26	2020-02-28	PETROCAN	105.30	CAD	105.30	CAD	2260	2260	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	GASOLINE-CITY USE
					207.34	CAD	207.34	CAD							
SOLID WASTE MANAGEMENT	5450-1	2020-02-03	2020-02-04	FLYING M TRUCK STOP	91.67	CAD	91.67	CAD	2260	2260	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
SOLID WASTE MANAGEMENT	5465-1	2020-02-21	2020-02-24	FLYING M TRUCK STOP	89.51	CAD	89.51	CAD	2280	2280	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASES
					181.18	CAD	181.18	CAD							
SOLID WASTE MANAGEMENT	5453-1	2020-02-05	2020-02-06	PIONEER # 345	56.54	CAD	56.54	CAD	2280	2280	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
SOLID WASTE MANAGEMENT	5466-1	2020-02-24	2020-02-25	PIONEER # 345	70.41	CAD	70.41	CAD	2280	2280	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
					126.95	CAD	126.95	CAD							
