Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx.Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5522-1	2020-05-06	2020-05-08	CDN TIRE GASBAR #01711	18.76	CAD	18.76	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 21.845L @$0.859/L
					18.76	CAD	18.76	CAD							
TORONTO PARAMEDIC SERVICES	5522-2	2020-05-06	2020-05-08	CDN TIRE GASBAR #01711	29.87	CAD	29.87	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 34.77L @$0.859/L
					29.87	CAD	29.87	CAD							
SOLID WASTE MANAGEMENT	5532-1	2020-05-20	2020-05-22	SHELL	67.05	CAD	67.05	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					67.05	CAD	67.05	CAD							
SOLID WASTE MANAGEMENT	5532-2	2020-05-20	2020-05-22	PETROCAN	37.00	CAD	37.00	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL CITY USE
					37.00	CAD	37.00	CAD							
SOLID WASTE MANAGEMENT	5532-3	2020-05-20	2020-05-22	PETROCAN	56.00	CAD	56.00	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	GASOLINE CITY USE
					56.00	CAD	56.00	CAD							
"PARKS, FORESTRY & RECREATION"	5534-1	2020-05-25	2020-05-26	PAUL WOLF ELECTRIC & L	216.80	CAD	216.80	CAD	2575	ELECTRICAL SUPPLIES	P12081	SOUTH-GENERAL-SPECIALIZED MAINT	5065	Electrical Parts and Equipment	"ELBOW, COUPLING, WIRE, CONDUIT CEMENT"
					216.80	CAD	216.80	CAD							
TORONTO WATER	5516-1	2020-05-01	2020-05-01	ULINE	103.78	CAD	103.78	CAD	2665	PROTECTIVE CLOTHING	TW4022	WW TREATMT:ASHBRIDGES BAY TP-LIQUIDS	5964	Direct Marketing - Catalog Merchants	**MORE**  ULINE BLK 6 MIL NITRILE GLVS-L
					103.78	CAD	103.78	CAD							
"PARKS, FORESTRY & RECREATION"	5525-1	2020-05-11	2020-05-13	CDN TIRE STORE #00209	47.39	CAD	47.39	CAD	2710	GENERAL HARDWARE	P00272	E-SOUTH2-TURF&HORT	5200	Home Supply Warehouse	FUSES
"PARKS, FORESTRY & RECREATION"	5528-1	2020-05-15	2020-05-18	RONA # 55140	44.04	CAD	44.04	CAD	3080	M & E - HAND TOOLS	P00272	E-SOUTH2-TURF&HORT	5251	Hardware Stores	GARDEN KNIVES
"PARKS, FORESTRY & RECREATION"	5530-1	2020-05-19	2020-05-20	RONA # 55140	44.04	CAD	44.04	CAD	3080	M & E - HAND TOOLS	P00272	E-SOUTH2-TURF&HORT	5251	Hardware Stores	GARDEN KNIVES
"PARKS, FORESTRY & RECREATION"	5536-1	2020-05-27	2020-05-28	SILVER MILE HARDWARE	411.21	CAD	411.21	CAD	2710	GENERAL HARDWARE	P00272	E-SOUTH2-TURF&HORT	5072	Hardware Equipment and Supplies	"CHAINSAW CHAINS, BAR OIL"
					546.68	CAD	546.68	CAD							
FACILITIES MANAGEMENT	5518-1	2020-05-04	2020-05-05	ONTARIO HEATING ROGERS	120.55	CAD	120.55	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61597531	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	1711	"Air Conditioning, Heating, and Plumbing"	FILTERS AND BELTS
FACILITIES MANAGEMENT	5521-1	2020-05-06	2020-05-07	PAUL WOLF ELECTRIC & L	27.63	CAD	27.63	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61593435	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5065	Electrical Parts and Equipment	ELECTRICAL MATERIALS
FACILITIES MANAGEMENT	5521-2	2020-05-06	2020-05-07	NOBLE 1007	"2,478.10"	CAD	"2,478.10"	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	61593435	BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS	5251	Hardware Stores	UNIT HEATERS
