Division	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5710-1	2021-01-12	2021-01-14	ESSO CIRCLE K	100.00	CAD	100.00	CAD	2260	GASOLINE	B41100	MAINTENANCE OF FLEET	5542	"Fuel Dispenser, Automated"	FUEL 88.889L @$1.125/L
					100.00	CAD	100.00	CAD							
SOLID WASTE MANAGEMENT	5715-1	2021-01-20	2021-01-21	FLYING M TRUCK STOP	88.19	CAD	88.19	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					88.19	CAD	88.19	CAD							
SOLID WASTE MANAGEMENT	5712-1	2021-01-14	2021-01-18	PETROCAN	47.01	CAD	47.01	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
SOLID WASTE MANAGEMENT	5720-1	2021-01-26	2021-01-28	PETROCAN	47.08	CAD	47.08	CAD	2280	DIESEL - CLEAR	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	DIESEL FUEL-CITY USE
					94.09	CAD	94.09	CAD							
SOLID WASTE MANAGEMENT	5707-1	2021-01-08	2021-01-11	PETROCAN	54.55	CAD	54.55	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5542	"Fuel Dispenser, Automated"	GASOLINE
SOLID WASTE MANAGEMENT	5720-2	2021-01-26	2021-01-28	PETROCAN	21.17	CAD	21.17	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	GASOLINE
SOLID WASTE MANAGEMENT	5720-3	2021-01-26	2021-01-28	PETROCAN	67.12	CAD	67.12	CAD	2260	GASOLINE	CSW930-03-01	KEELE VALLEY SOGR	5541	Service Stations (with or without Ancill	GASOLINE
					142.84	CAD	142.84	CAD							
SOLID WASTE MANAGEMENT	5709-1	2021-01-12	2021-01-13	ENVIRON RES & ED FDN	32.89	CAD	25.00	USD	2120	PARTS - MACHINERY & EQUIPMENT	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	8299	Educational Services	WEBINAR: INDUSTRY PERSPECTIVES ON PFAS
