Division 	Batch Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Center / WBS Element / Order	Cost Center / WBS Element / Order Description	Merchant Type	Merchant Type Description	Purpose
TORONTO PARAMEDIC SERVICES	5964-1	2021-12-20	2021-12-21	SHELL C08820	100.00	CAD	100.00	CAD	*****	PARTS - MOBILE EQUIPMENT	*****	UNASSIGNED	5541	Service Stations (with or without Ancill	**MORE**  FUEL 64.137L@$1.436/L
					100.00	CAD	100.00	CAD							
TORONTO PARAMEDIC SERVICES	5950-1	2021-11-30	2021-12-02	ONROUTE #01167	95.00	CAD	95.00	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5541	Service Stations (with or without Ancill	FUEL 62.872L@$1.511/L
TORONTO PARAMEDIC SERVICES	5950-2	2021-11-30	2021-12-02	ONROUTE #01167	95.00	CAD	95.00	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5541	Service Stations (with or without Ancill	FUEL 62.872L@$1.511/L
					190.00	CAD	190.00	CAD							
TORONTO PARAMEDIC SERVICES	5953-1	2021-12-02	2021-12-06	SHELL C12596	100.00	CAD	100.00	CAD	2260	GASOLINE	B41000	OPERATION&MAINTENANCE OF GARAGE	5542	"Fuel Dispenser, Automated"	FUEL 69.98L @$1.429/L
					100.00	CAD	100.00	CAD							
SOLID WASTE MANAGEMENT	5957-1	2021-12-08	2021-12-10	SUNSET DRIVE ESSO	110.37	CAD	110.37	CAD	2260	GASOLINE	SW0901	GREEN LANE LANDFILL	5541	Service Stations (with or without Ancill	FUEL PURCHASE
					110.37	CAD	110.37	CAD							
SOLID WASTE MANAGEMENT	5956-1	2021-12-08	2021-12-09	CPC / SCP 333204	13.21	CAD	13.21	CAD	4805	POSTAGE	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	4215	"Courier Services - Air & Ground, Freight"	REGISTERED LETTER TO STAFF WHO DO NOT HAVE ACCESS TO EMAIL
SOLID WASTE MANAGEMENT	5957-2	2021-12-09	2021-12-10	CPC / SCP 333204	12.23	CAD	12.23	CAD	4805	POSTAGE	SW0739	MATERIAL RECYCLING FACILITY - ARROW ROAD	4215	"Courier Services - Air & Ground, Freight"	REGISTERED MAIL TO STAFF WHO DO NOT HAVE ACCESS TO EMAIL
					25.44	CAD	25.44	CAD							
TORONTO WATER	5951-1	2021-12-01	2021-12-03	CDN TIRE STORE #00654	101.68	CAD	101.68	CAD	2710	GENERAL HARDWARE	TW4022	WW TREATMT:ASHBRIDGES BAY TP-LIQUIDS	5200	Home Supply Warehouse	BURLAP
TORONTO WATER	5953-2	2021-12-02	2021-12-06	THE HOME DEPOT #7080	"1,124.36"	CAD	"1,124.36"	CAD	3050	M & E - KITCHEN	TW4015	WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.	5200	Home Supply Warehouse	**MORE**  LTCS20020S
					"1,226.04"	CAD	"1,226.04"	CAD							
